Code,Name,Description,,,,,
4165,NINT,LN. Interest Receivable Credit,,,,,
4166,NINT,LN. Interest Accrued Credit,,,,,
4170,NINT,LN. Interest Arrears Compound,,,,,
4190,NINT,LN. Suspended Interest Receivable Debit,,,,,
4191,NINT,LN. Suspended Interest Accrued Debit,,,,,
4195,NINT,LN. Suspended Interest Receivable Credit,,,,,
4196,NINT,LN. Suspended Interest Accrued Credit,,,,,
4225,NINT,Interest Adjustment: Debit,,,,,
4230,NINT,Interest Adjustment: Credit,,,,,
4260,NINT,LN. Interest Income,,,,,
4262,NINT,LN. Catch Up Interest Income,,,,,
4263,NINT,LN. Interest Income Adj.,,,,,
4300,NINT,LN. Unearned Interest Credit,,,,,
4301,NINT,LN. Add On Interest Credit,,,,,
4340,NINT,LN. Suspended Interest Income,,,,,
4630,NINT,LN. Interest Adjustment,,,,,
4640,NINT,LN. Susp. Interest Adjustment,,,,,
4650,NINT,LN. Penalty Interest Adjustment,,,,,
4660,NINT,LN. Penalty Interest Base Adjustment,,,,,
5001,NINT,Interest Credit,,,,,
5002,NINT,Interest Debit,,,,,
6736,NINT,PDC. Penal Interest,,,,,
6737,NINT,PDC. Interest Amortization,,,,,
7044,NINT,Loan Interest Subsidy Payin,,,,,
8002,NINT,Interest Debit Reversal,,,,,
1000,NMSC,Customer Search,,,,,
1001,NMSC,Tarik Tunai/Cash Withdrawal,,,,,
1002,NMSC,Excess Refund By Cash,,,,,
1007,NMSC,Str Dep Debit CASA/TD.Payin ,,,,,
1009,NMSC,TC. Sale Against Account,,,,,
1010,NMSC,BC. Sale Against Account,,,,,
1011,NMSC,Disbursement By Cheque,,,,,
1012,NMSC,LN. Rev. Credit Withdrawal,,,,,
1014,NMSC,DD. Sale Against Account,,,,,
1016,NMSC,CASA. Debit  TFC.,,,,,
1017,NMSC,Revolving Loan Debit By Cash,,,,,
1018,NMSC,Miscellaneous Customer Debit NoCOT.,,,,,
1019,NMSC,Revolving Loan Debit By Cheque,,,,,
1021,NMSC,Setor Deposito Debit GL/TD. Payin GL,,,,,
